epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.943,0.49499,0.08915,0.84113,1.02791,0.60757,0.33296,0.53346,0.3998,0.31882,0.34409,0.55488,0.42011,0.41393,0.38029,0.05703,0.01498,1.30578,0.52045,0.00333096,0.00333096,0.00333096
2,587.856,0.36381,0.05118,0.46696,0.59849,0.48945,0.80291,0.27862,0.39959,0.34295,0.78144,0.2901,0.41729,0.41194,0.34476,0.05222,0.01329,1.43356,0.48205,0.0066577,0.0066577,0.0066577
3,832.212,0.34502,0.04695,0.43829,0.5751,0.46976,0.57512,0.32001,0.44508,0.38123,0.58331,0.33641,0.46208,0.45781,0.32177,0.04831,0.00531,1.421,0.46479,0.00997784,0.00997784,0.00997784
4,1054.89,0.33143,0.04428,0.42631,0.5575,0.45974,0.45939,0.274,0.36953,0.33025,0.47092,0.29556,0.38889,0.38321,0.31367,0.04663,0.0084,1.57328,0.45664,0.0099703,0.0099703,0.0099703
5,1293.64,0.31913,0.04249,0.40979,0.5393,0.45215,0.61561,0.30558,0.44075,0.38767,0.61704,0.32327,0.45732,0.45322,0.30509,0.04426,0.00577,1.36675,0.45015,0.0099604,0.0099604,0.0099604
6,1528.63,0.31098,0.04148,0.40273,0.52709,0.44737,0.64836,0.29066,0.42678,0.38007,0.66589,0.31005,0.44316,0.43847,0.29885,0.04271,0.00569,1.4258,0.44448,0.0099505,0.0099505,0.0099505
7,1757.74,0.30603,0.04077,0.40246,0.51882,0.44445,0.63812,0.30508,0.4287,0.38435,0.64029,0.31688,0.44279,0.4393,0.29395,0.04231,0.00617,1.41006,0.44333,0.0099406,0.0099406,0.0099406
8,1997.15,0.30183,0.04015,0.39512,0.51195,0.44204,0.9118,0.29552,0.45024,0.40026,0.89792,0.30505,0.46572,0.46179,0.28804,0.04089,0.00655,1.33897,0.43897,0.0099307,0.0099307,0.0099307
9,2237.65,0.29802,0.03944,0.39296,0.50627,0.43966,0.92756,0.30981,0.46962,0.41558,0.89954,0.3206,0.48338,0.48023,0.284,0.04045,0.00555,1.27162,0.43844,0.0099208,0.0099208,0.0099208
10,2467.95,0.29561,0.03901,0.38645,0.50156,0.43811,0.629,0.28252,0.4143,0.37329,0.63864,0.29799,0.43267,0.42807,0.28571,0.04183,0.00753,1.4454,0.43653,0.0099109,0.0099109,0.0099109
11,2705.83,0.29376,0.03871,0.38715,0.49846,0.43697,0.90298,0.29649,0.45047,0.40321,0.87214,0.30965,0.46517,0.46176,0.27965,0.03939,0.00503,1.33416,0.43217,0.009901,0.009901,0.009901
12,2933.93,0.29145,0.03826,0.38404,0.49448,0.43547,0.852,0.31784,0.44882,0.40394,0.74966,0.33512,0.46553,0.46129,0.28047,0.04112,0.00702,1.3905,0.43788,0.0098911,0.0098911,0.0098911
13,3161.01,0.2897,0.03792,0.38342,0.49156,0.43454,0.72812,0.31659,0.44689,0.40403,0.71172,0.32848,0.46181,0.45792,0.27676,0.03974,0.00694,1.34799,0.43241,0.0098812,0.0098812,0.0098812
14,3391.9,0.28832,0.03761,0.38026,0.48924,0.43365,0.77063,0.30244,0.43945,0.3963,0.69158,0.31518,0.455,0.45068,0.27589,0.03986,0.00684,1.35423,0.43289,0.0098713,0.0098713,0.0098713
15,3627.63,0.28697,0.03737,0.38063,0.48633,0.43287,0.66728,0.3198,0.45454,0.4098,0.68407,0.33143,0.47056,0.4661,0.27325,0.03887,0.00625,1.26413,0.43084,0.0098614,0.0098614,0.0098614
16,3857.83,0.28626,0.03713,0.38008,0.48474,0.43216,0.67064,0.32127,0.44557,0.40357,0.68799,0.33153,0.45956,0.45577,0.27036,0.038,0.00623,1.29339,0.4283,0.0098515,0.0098515,0.0098515
17,4090.48,0.28477,0.03689,0.37632,0.4828,0.43135,0.65893,0.31127,0.44853,0.40552,0.66989,0.32282,0.46208,0.45851,0.26955,0.03779,0.00531,1.27884,0.42858,0.0098416,0.0098416,0.0098416
18,4363.17,0.28395,0.03674,0.37514,0.48123,0.43085,0.35733,0.44445,0.40984,0.37255,0.3703,0.45481,0.4255,0.42143,0.26893,0.03792,0.00576,1.37602,0.42708,0.0098317,0.0098317,0.0098317
19,4779.35,0.28269,0.03643,0.37138,0.47913,0.42994,0.57763,0.30651,0.43053,0.39213,0.55375,0.32521,0.44638,0.44216,0.26738,0.03779,0.00672,1.35642,0.42609,0.0098218,0.0098218,0.0098218
20,5170.7,0.28192,0.0363,0.37303,0.47726,0.42964,0.49725,0.30867,0.41705,0.38144,0.51199,0.3256,0.43251,0.42828,0.26725,0.03836,0.00535,1.43005,0.42721,0.0098119,0.0098119,0.0098119
21,5493.98,0.28086,0.03599,0.36951,0.47549,0.42898,0.83877,0.31319,0.44117,0.40169,0.84533,0.32206,0.45605,0.45205,0.26722,0.03832,0.00669,1.34707,0.42743,0.009802,0.009802,0.009802
22,5951.3,0.28033,0.03587,0.37094,0.47464,0.42842,0.33651,0.43555,0.41099,0.3752,0.3536,0.44622,0.42827,0.42396,0.26557,0.03794,0.00726,1.444,0.42666,0.0097921,0.0097921,0.0097921
23,6385.88,0.27986,0.03589,0.37259,0.47352,0.42819,0.63311,0.31093,0.43178,0.39314,0.64973,0.32459,0.44803,0.44371,0.26643,0.0382,0.00702,1.41101,0.42731,0.0097822,0.0097822,0.0097822
24,6760.9,0.27919,0.03564,0.37314,0.4725,0.42775,0.35444,0.45716,0.42652,0.38936,0.36714,0.47244,0.44405,0.43927,0.26486,0.03743,0.00824,1.3715,0.42439,0.0097723,0.0097723,0.0097723
25,7152.9,0.27872,0.03567,0.36916,0.47185,0.42708,0.54783,0.31917,0.45103,0.41004,0.56185,0.33379,0.46603,0.46213,0.26452,0.03724,0.0068,1.31636,0.42403,0.0097624,0.0097624,0.0097624
26,7610.89,0.27876,0.03562,0.37166,0.47169,0.42634,0.6014,0.32562,0.45655,0.41421,0.55624,0.34363,0.47239,0.46857,0.26403,0.03743,0.00722,1.34659,0.42289,0.0097525,0.0097525,0.0097525
27,8050.39,0.27762,0.03551,0.36767,0.47062,0.42558,0.69126,0.31975,0.45647,0.41444,0.68758,0.33633,0.47322,0.46907,0.2647,0.03781,0.00719,1.36474,0.42299,0.0097426,0.0097426,0.0097426
28,8464.65,0.27717,0.0354,0.36419,0.46963,0.4252,0.63993,0.32344,0.45257,0.41163,0.64306,0.33512,0.46665,0.46342,0.26245,0.03687,0.00585,1.33824,0.4235,0.0097327,0.0097327,0.0097327
29,8778.64,0.27673,0.03522,0.36534,0.46869,0.42504,0.64941,0.31661,0.44903,0.4093,0.65869,0.33101,0.46294,0.45926,0.26208,0.03638,0.00756,1.30642,0.42267,0.0097228,0.0097228,0.0097228
30,9240.7,0.27622,0.03504,0.36432,0.46809,0.42468,0.50926,0.32664,0.44376,0.4051,0.52901,0.34321,0.45952,0.45547,0.26163,0.03679,0.00745,1.33286,0.42242,0.0097129,0.0097129,0.0097129
31,9684.27,0.27601,0.03503,0.36849,0.46739,0.42449,0.51266,0.35241,0.45109,0.41157,0.52575,0.36561,0.46581,0.46235,0.2605,0.03629,0.0072,1.31629,0.42089,0.009703,0.009703,0.009703
32,10097.5,0.275,0.03498,0.3627,0.4663,0.42394,0.62442,0.33352,0.46178,0.42016,0.5718,0.35126,0.47607,0.47258,0.25936,0.03609,0.00651,1.29263,0.41994,0.0096931,0.0096931,0.0096931
33,10446.8,0.27465,0.03486,0.36445,0.46544,0.42381,0.67925,0.33387,0.46953,0.42684,0.59576,0.34898,0.48249,0.47933,0.25839,0.03574,0.00637,1.26635,0.41922,0.0096832,0.0096832,0.0096832
34,10886.8,0.2748,0.03482,0.36538,0.46491,0.42388,0.56376,0.33374,0.46145,0.42067,0.55746,0.3493,0.47488,0.47162,0.25779,0.0355,0.00653,1.28675,0.41881,0.0096733,0.0096733,0.0096733
35,11327.6,0.27413,0.03472,0.36484,0.4649,0.42337,0.63672,0.33035,0.46453,0.42318,0.60474,0.34413,0.47773,0.47446,0.25798,0.03578,0.00666,1.30057,0.41945,0.0096634,0.0096634,0.0096634
36,11747.4,0.27374,0.03466,0.36051,0.46353,0.42335,0.68235,0.32994,0.46268,0.42194,0.67709,0.34445,0.47647,0.47324,0.2577,0.03595,0.00708,1.31731,0.41988,0.0096535,0.0096535,0.0096535
37,12091.2,0.27349,0.03459,0.36021,0.46319,0.42311,0.73711,0.32779,0.46196,0.42155,0.69295,0.34225,0.47589,0.47261,0.25743,0.03603,0.00745,1.32172,0.41947,0.0096436,0.0096436,0.0096436
38,12519.5,0.27294,0.03456,0.36027,0.46213,0.42288,0.79697,0.32681,0.45947,0.4198,0.72925,0.33973,0.47325,0.46998,0.25725,0.0361,0.00775,1.32945,0.41961,0.0096337,0.0096337,0.0096337
39,12963.9,0.27239,0.03445,0.35805,0.46151,0.42252,0.67165,0.32628,0.45643,0.41721,0.60041,0.34289,0.47097,0.46722,0.25711,0.03614,0.00775,1.33776,0.41948,0.0096238,0.0096238,0.0096238
40,13391.9,0.27205,0.03438,0.35977,0.46086,0.42221,0.636,0.32787,0.45652,0.41736,0.61632,0.34449,0.47144,0.46778,0.25709,0.03615,0.00772,1.3388,0.41952,0.0096139,0.0096139,0.0096139
41,13727.7,0.27188,0.03432,0.36163,0.45981,0.42232,0.64234,0.32812,0.45805,0.41855,0.63584,0.34313,0.47274,0.46898,0.25672,0.03615,0.00773,1.34261,0.41901,0.009604,0.009604,0.009604
42,14163.6,0.27156,0.03436,0.36241,0.45969,0.4221,0.67607,0.32784,0.4625,0.42197,0.65891,0.34272,0.47674,0.47312,0.25633,0.03599,0.00784,1.33593,0.41852,0.0095941,0.0095941,0.0095941
43,14612.9,0.27161,0.03419,0.36079,0.45937,0.42207,0.66969,0.32675,0.46078,0.42084,0.66925,0.34123,0.47518,0.47184,0.25615,0.03596,0.00784,1.33849,0.41846,0.0095842,0.0095842,0.0095842
44,15052.5,0.27097,0.03417,0.36021,0.45862,0.42164,0.67313,0.32747,0.46318,0.42277,0.68268,0.33908,0.47774,0.47443,0.25574,0.03581,0.00758,1.33218,0.41857,0.0095743,0.0095743,0.0095743
45,15425.8,0.271,0.03411,0.35954,0.45833,0.42167,0.67355,0.32929,0.46597,0.42489,0.68413,0.34277,0.4795,0.47651,0.25541,0.03564,0.00746,1.32153,0.41838,0.0095644,0.0095644,0.0095644
46,15806.6,0.27058,0.03416,0.3591,0.4582,0.42138,0.67248,0.33002,0.46687,0.42551,0.68462,0.34348,0.47999,0.477,0.2552,0.03557,0.00751,1.31987,0.41792,0.0095545,0.0095545,0.0095545
47,16261.3,0.27043,0.03411,0.3589,0.45776,0.42145,0.67528,0.32931,0.46806,0.42655,0.68649,0.34261,0.48137,0.47813,0.25484,0.03547,0.00749,1.31525,0.41746,0.0095446,0.0095446,0.0095446
48,16696.6,0.27013,0.03398,0.35779,0.45731,0.42119,0.6855,0.3282,0.46738,0.42643,0.6906,0.34015,0.48116,0.47767,0.25452,0.03537,0.00735,1.31408,0.41716,0.0095347,0.0095347,0.0095347
49,17104.3,0.27008,0.03416,0.35706,0.45728,0.42122,0.71229,0.32765,0.46742,0.42688,0.69614,0.3395,0.48171,0.47832,0.25425,0.03526,0.0073,1.30736,0.41693,0.0095248,0.0095248,0.0095248
50,17448.6,0.26968,0.03393,0.35603,0.45615,0.4209,0.86716,0.32774,0.46721,0.42687,0.71661,0.33942,0.48147,0.47842,0.25407,0.0352,0.00731,1.30131,0.41662,0.0095149,0.0095149,0.0095149
51,17898,0.26948,0.03398,0.35833,0.45587,0.42097,0.90106,0.32779,0.46852,0.42761,0.77195,0.33854,0.48195,0.47898,0.2539,0.03514,0.00733,1.29658,0.41642,0.009505,0.009505,0.009505
52,18342.4,0.26944,0.03402,0.35833,0.456,0.42107,0.91591,0.32619,0.46738,0.42696,0.82597,0.3367,0.48092,0.47799,0.25375,0.0351,0.00733,1.29518,0.41624,0.0094951,0.0094951,0.0094951
53,18767.7,0.26912,0.03391,0.35646,0.45505,0.42073,0.91411,0.32703,0.46785,0.42725,0.79423,0.33794,0.48119,0.47822,0.25362,0.03506,0.00735,1.29308,0.41604,0.0094852,0.0094852,0.0094852
