epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,968.056,0.51053,0.14177,1.37093,1.06324,0.61948,0.33888,0.59204,0.42239,0.33041,0.35178,0.61795,0.44324,0.43809,0.39899,0.08847,0.02746,1.22366,0.52422,0.00333096,0.00333096,0.00333096
2,1826.96,0.37373,0.08251,0.77474,0.61685,0.49647,0.32795,0.42598,0.36681,0.31183,0.34136,0.44205,0.38488,0.38007,0.35077,0.0826,0.0204,1.55206,0.48753,0.0066577,0.0066577,0.0066577
3,2593.57,0.35313,0.07639,0.74285,0.58616,0.4767,0.9178,0.29738,0.44727,0.37996,0.92613,0.3021,0.46089,0.45758,0.33237,0.07814,0.01329,1.40018,0.46961,0.00997784,0.00997784,0.00997784
4,3343.6,0.34019,0.07296,0.71903,0.57029,0.46609,0.56634,0.27552,0.40957,0.35599,0.55394,0.29144,0.42512,0.42088,0.32307,0.07381,0.01351,1.33898,0.46057,0.0099703,0.0099703,0.0099703
5,4102.08,0.32747,0.07081,0.6938,0.55162,0.45826,0.77732,0.25703,0.39026,0.34478,0.61574,0.28363,0.41085,0.40449,0.31678,0.0731,0.01189,1.4103,0.45641,0.0099604,0.0099604,0.0099604
6,4875.24,0.32,0.06881,0.68411,0.53956,0.45357,0.6789,0.30497,0.44596,0.38999,0.65172,0.32534,0.46562,0.46049,0.30797,0.07165,0.00881,1.31065,0.45336,0.0099505,0.0099505,0.0099505
7,5651.18,0.31465,0.06731,0.67714,0.53045,0.45052,0.43193,0.27723,0.40163,0.35774,0.44199,0.30818,0.42263,0.41717,0.30253,0.07065,0.0081,1.4327,0.45313,0.0099406,0.0099406,0.0099406
8,6423.24,0.31045,0.06628,0.66866,0.52433,0.44819,0.32819,0.39731,0.38779,0.34533,0.34681,0.41132,0.4118,0.405,0.30402,0.07024,0.00931,1.44752,0.44572,0.0099307,0.0099307,0.0099307
9,6939.52,0.30701,0.06497,0.66246,0.51928,0.44591,0.32922,0.42045,0.41272,0.36929,0.34098,0.43423,0.42809,0.4242,0.29184,0.06685,0.00998,1.35483,0.44105,0.0099208,0.0099208,0.0099208
10,7673.22,0.30474,0.06444,0.65826,0.51551,0.44446,0.29063,0.38369,0.36231,0.32826,0.30755,0.39965,0.38115,0.37516,0.29251,0.06795,0.00844,inf,0.44146,0.0099109,0.0099109,0.0099109
11,8327.6,0.30262,0.06395,0.65523,0.51213,0.44326,0.76735,0.26453,0.39224,0.35418,0.59579,0.28727,0.40896,0.40442,0.29211,0.06561,0.01301,1.46632,0.43868,0.009901,0.009901,0.009901
12,8956.36,0.30029,0.06319,0.64724,0.50841,0.44167,0.38763,0.2612,0.33363,0.30642,0.37208,0.28724,0.35628,0.34968,0.29007,0.06681,0.01304,inf,0.44288,0.0098911,0.0098911,0.0098911
13,9603.73,0.29869,0.06262,0.64705,0.50569,0.44075,0.82116,0.26486,0.39011,0.35457,0.65582,0.29172,0.41017,0.40438,0.28903,0.06615,0.00841,1.55199,0.43803,0.0098812,0.0098812,0.0098812
14,10229.5,0.29745,0.06234,0.64171,0.50331,0.43989,0.80559,0.28047,0.42134,0.37863,0.76762,0.29549,0.43562,0.43196,0.2835,0.06415,0.01017,1.44313,0.43937,0.0098713,0.0098713,0.0098713
15,10852.5,0.29601,0.0618,0.64462,0.50043,0.43901,0.55678,0.26787,0.37752,0.34587,0.4935,0.28962,0.3939,0.38921,0.28227,0.06329,0.01044,1.42096,0.43818,0.0098614,0.0098614,0.0098614
16,11477.4,0.2948,0.06129,0.64194,0.49848,0.4381,0.28094,0.4257,0.3626,0.32993,0.2909,0.44011,0.37856,0.37397,0.28067,0.06338,0.01126,inf,0.43802,0.0098515,0.0098515,0.0098515
17,12119.4,0.29349,0.06116,0.63708,0.49666,0.43764,0.87218,0.31878,0.45311,0.40723,0.87683,0.32576,0.46609,0.463,0.27804,0.0621,0.01073,1.32001,0.43469,0.0098416,0.0098416,0.0098416
18,12775.3,0.29265,0.06077,0.63505,0.49506,0.43688,0.75991,0.28881,0.41019,0.3713,0.58191,0.31034,0.42636,0.4222,0.28019,0.06343,0.0137,1.46539,0.43623,0.0098317,0.0098317,0.0098317
19,13399.7,0.29148,0.06025,0.6301,0.49286,0.43601,0.42241,0.28282,0.38086,0.34919,0.3728,0.3046,0.39608,0.39209,0.27566,0.06172,0.01291,1.49875,0.43523,0.0098218,0.0098218,0.0098218
20,14038.8,0.29055,0.06006,0.62973,0.49126,0.43563,0.30857,0.42741,0.37869,0.34284,0.31898,0.4412,0.39485,0.39021,0.27716,0.06186,0.0131,1.46749,0.43402,0.0098119,0.0098119,0.0098119
21,14658.6,0.28989,0.05972,0.62454,0.49033,0.43519,0.2454,0.38477,0.3046,0.28185,0.25589,0.4003,0.32418,0.3177,0.27696,0.06311,0.015,inf,0.43577,0.009802,0.009802,0.009802
22,15270.3,0.28886,0.05959,0.62393,0.48854,0.43458,0.5599,0.28717,0.38196,0.35002,0.55289,0.30012,0.39737,0.393,0.27536,0.06173,0.01429,inf,0.4363,0.0097921,0.0097921,0.0097921
23,15920.3,0.28869,0.05953,0.63012,0.48787,0.43444,0.78268,0.29076,0.41541,0.37882,0.73777,0.3022,0.42964,0.42576,0.27509,0.06166,0.01506,1.43401,0.43533,0.0097822,0.0097822,0.0097822
24,16568.2,0.28759,0.05899,0.62845,0.48628,0.43361,0.77444,0.29068,0.41474,0.37663,0.74196,0.30539,0.43152,0.42722,0.27623,0.06217,0.01436,1.43321,0.43502,0.0097723,0.0097723,0.0097723
25,17180.3,0.28735,0.05904,0.62752,0.48562,0.43324,0.62601,0.28796,0.40567,0.36993,0.5253,0.31025,0.42176,0.41735,0.27482,0.06219,0.01368,1.45773,0.43514,0.0097624,0.0097624,0.0097624
26,17402.6,0.2868,0.05861,0.62871,0.48458,0.43309,0.41633,0.27473,0.34426,0.3161,0.41291,0.29885,0.36443,0.35797,0.27461,0.06242,0.01337,inf,0.43622,0.0097525,0.0097525,0.0097525
27,17622.8,0.28594,0.05858,0.62416,0.48329,0.43247,0.47292,0.26718,0.34202,0.31606,0.4679,0.28823,0.3626,0.35638,0.27457,0.06282,0.0128,inf,0.43401,0.0097426,0.0097426,0.0097426
28,17849.4,0.28557,0.05848,0.61789,0.48228,0.43217,0.54236,0.28218,0.39377,0.36064,0.53419,0.30009,0.41045,0.40567,0.27189,0.06129,0.01856,inf,0.42984,0.0097327,0.0097327,0.0097327
29,18071.1,0.28482,0.05817,0.61868,0.48117,0.43188,0.79832,0.27828,0.39429,0.36238,0.73132,0.29349,0.41067,0.4061,0.27164,0.06113,0.0198,inf,0.42995,0.0097228,0.0097228,0.0097228
30,18296.3,0.28421,0.05792,0.61829,0.48015,0.43132,0.76856,0.29407,0.41414,0.37811,0.76099,0.30802,0.43076,0.42616,0.27165,0.06139,0.02007,1.44317,0.43047,0.0097129,0.0097129,0.0097129
31,18519.2,0.28417,0.05787,0.62233,0.4798,0.43119,0.69047,0.28914,0.39964,0.36709,0.66742,0.30415,0.41667,0.41182,0.27096,0.06108,0.01702,inf,0.4315,0.009703,0.009703,0.009703
32,18743.4,0.28356,0.05773,0.61536,0.4792,0.43088,0.63584,0.29192,0.40465,0.37064,0.57685,0.30872,0.42023,0.41584,0.27,0.06028,0.0201,1.4572,0.43106,0.0096931,0.0096931,0.0096931
33,18969.5,0.28367,0.05762,0.62162,0.47883,0.43099,0.76538,0.29677,0.42241,0.38574,0.63211,0.31623,0.43701,0.43305,0.26904,0.06011,0.01856,1.43516,0.42989,0.0096832,0.0096832,0.0096832
34,19198,0.28344,0.05739,0.62393,0.47837,0.43051,0.7313,0.29865,0.42935,0.39123,0.71822,0.31237,0.44404,0.44019,0.26806,0.06039,0.01674,1.43004,0.42863,0.0096733,0.0096733,0.0096733
35,19428.7,0.28262,0.05727,0.61751,0.47753,0.43012,0.58087,0.301,0.42339,0.38594,0.58271,0.31812,0.43935,0.43524,0.26776,0.06042,0.01755,inf,0.42865,0.0096634,0.0096634,0.0096634
36,19659.6,0.28251,0.05729,0.61078,0.47668,0.43002,0.58877,0.30483,0.42398,0.38623,0.59641,0.32152,0.44068,0.43633,0.26741,0.06033,0.01695,inf,0.42869,0.0096535,0.0096535,0.0096535
37,19890,0.2822,0.05701,0.61288,0.47636,0.42978,0.53965,0.30611,0.42325,0.38543,0.49055,0.32581,0.44092,0.43632,0.26749,0.06051,0.01843,inf,0.42841,0.0096436,0.0096436,0.0096436
38,20120.3,0.28167,0.05704,0.61171,0.47583,0.4295,0.38132,0.39332,0.41814,0.38159,0.39824,0.40744,0.43512,0.43068,0.26706,0.06035,0.01798,inf,0.42813,0.0096337,0.0096337,0.0096337
39,20348.6,0.2816,0.05691,0.61446,0.47555,0.42926,0.52594,0.30291,0.41334,0.37798,0.52838,0.31934,0.42937,0.42503,0.26677,0.06016,0.01675,inf,0.42852,0.0096238,0.0096238,0.0096238
40,20578,0.28058,0.05674,0.61475,0.47393,0.42868,0.53335,0.30444,0.4111,0.37636,0.4038,0.36593,0.42737,0.42323,0.26628,0.06,0.01623,inf,0.42825,0.0096139,0.0096139,0.0096139
41,20807.7,0.28045,0.0565,0.61608,0.47347,0.42879,0.52878,0.30144,0.40806,0.37422,0.53925,0.31722,0.42416,0.41982,0.26577,0.05987,0.01559,inf,0.42806,0.009604,0.009604,0.009604
42,21033.7,0.28034,0.05674,0.61164,0.47327,0.42847,0.54456,0.30529,0.40817,0.37461,0.50126,0.3438,0.42415,0.41986,0.26554,0.05984,0.01549,inf,0.42802,0.0095941,0.0095941,0.0095941
43,21368.1,0.28049,0.05664,0.60866,0.4735,0.42814,0.5131,0.33232,0.4064,0.37312,0.52571,0.34665,0.42247,0.41828,0.26549,0.05985,0.01578,inf,0.42806,0.0095842,0.0095842,0.0095842
