epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,734.868,0.53876,0.28672,2.7375,1.1359,0.64389,0.29906,0.56578,0.39707,0.30822,0.31383,0.59373,0.42113,0.41466,0.42175,0.18193,0.04607,1.28768,0.54383,0.00333096,0.00333096,0.00333096
2,1365.34,0.39315,0.16633,1.54825,0.64766,0.50891,0.40642,0.28765,0.30034,0.25445,0.43105,0.30508,0.32294,0.31593,0.37396,0.17134,0.03562,1.52053,0.50033,0.0066577,0.0066577,0.0066577
3,2026,0.36843,0.15746,1.50508,0.6106,0.48851,0.48879,0.30512,0.39442,0.33252,0.51458,0.32122,0.41499,0.40922,0.35788,0.16796,0.02678,1.56601,0.48687,0.00997784,0.00997784,0.00997784
4,2644.21,0.35494,0.15434,1.4765,0.59386,0.47576,0.91639,0.30766,0.45032,0.38061,0.91517,0.31778,0.46809,0.46331,0.33979,0.15507,0.02923,1.24431,0.47282,0.0099703,0.0099703,0.0099703
5,3234.31,0.34243,0.14801,1.42412,0.57404,0.4679,0.77633,0.25977,0.40321,0.34824,0.67109,0.27561,0.42255,0.41696,0.33319,0.15234,0.02871,1.38283,0.46649,0.0099604,0.0099604,0.0099604
6,3869.2,0.33396,0.14305,1.40174,0.56156,0.46252,0.57977,0.25301,0.36557,0.32127,0.48809,0.28358,0.39103,0.38331,0.33482,0.16021,0.02761,1.52867,0.46975,0.0099505,0.0099505,0.0099505
7,4497.53,0.32911,0.14018,1.38817,0.55372,0.45976,0.87917,0.29589,0.40728,0.35868,0.87486,0.30695,0.42754,0.4216,0.32091,0.14886,0.03184,1.36978,0.46434,0.0099406,0.0099406,0.0099406
8,5182.05,0.32456,0.13777,1.37085,0.54629,0.45703,0.89364,0.31122,0.44482,0.38682,0.84406,0.32309,0.46361,0.45835,0.31685,0.14481,0.02316,1.34201,0.45873,0.0099307,0.0099307,0.0099307
9,5846.27,0.32151,0.13524,1.36576,0.54167,0.45504,0.60689,0.27874,0.38394,0.34185,0.633,0.30543,0.41075,0.4019,0.31321,0.14749,0.03489,1.49051,0.45494,0.0099208,0.0099208,0.0099208
10,6528.73,0.31915,0.1343,1.35011,0.53758,0.45374,0.67676,0.33104,0.44907,0.39073,0.6919,0.35103,0.47405,0.46712,0.31509,0.14555,0.02218,1.23708,0.45673,0.0099109,0.0099109,0.0099109
11,7214.51,0.31684,0.13336,1.35241,0.53364,0.45212,0.96714,0.32451,0.46605,0.40587,0.9659,0.3405,0.48835,0.48205,0.30625,0.14164,0.02959,1.33061,0.45183,0.009901,0.009901,0.009901
12,7894.96,0.31404,0.13154,1.3301,0.52983,0.4506,0.8398,0.32534,0.43914,0.38607,0.83447,0.33925,0.46313,0.45681,0.30962,0.14327,0.03631,1.3841,0.45677,0.0098911,0.0098911,0.0098911
13,8568.56,0.31227,0.13067,1.32931,0.52695,0.4497,0.93165,0.30269,0.42778,0.37936,0.9461,0.31131,0.44915,0.44313,0.30441,0.13895,0.03285,1.40323,0.44978,0.0098812,0.0098812,0.0098812
14,9221.26,0.31083,0.12995,1.31962,0.52403,0.44864,0.95008,0.33129,0.45572,0.40341,0.95511,0.33784,0.46973,0.46622,0.2976,0.13234,0.03498,1.29265,0.44619,0.0098713,0.0098713,0.0098713
15,9869.18,0.30914,0.1291,1.32843,0.52173,0.44792,0.89626,0.32853,0.45563,0.40298,0.89959,0.33403,0.47121,0.46721,0.29756,0.13442,0.03001,1.30351,0.44713,0.0098614,0.0098614,0.0098614
16,10524.6,0.30852,0.12865,1.3178,0.52063,0.44721,0.91687,0.3407,0.48186,0.4222,0.91395,0.34499,0.49371,0.49065,0.29316,0.12992,0.02074,1.14857,0.44251,0.0098515,0.0098515,0.0098515
17,10965.2,0.30765,0.12809,1.31814,0.51905,0.44655,0.84939,0.30523,0.4313,0.38392,0.82768,0.31606,0.44884,0.44361,0.29584,0.13315,0.02493,1.31625,0.44379,0.0098416,0.0098416,0.0098416
18,11205.5,0.30606,0.12731,1.30581,0.51708,0.44589,0.65282,0.30762,0.44229,0.39218,0.67105,0.324,0.46059,0.45587,0.29286,0.13431,0.02173,1.28322,0.44208,0.0098317,0.0098317,0.0098317
