epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,691.455,0.50693,0.05485,0.55312,1.10623,0.66182,0.5047,0.44128,0.50537,0.40491,0.51516,0.45043,0.51786,0.515,0.38669,0.03555,0.0116,1.30613,0.56669,0.00333096,0.00333096,0.00333096
2,1286.3,0.37582,0.03181,0.29415,0.7399,0.55052,0.9784,0.36008,0.5149,0.44019,0.98245,0.36447,0.52555,0.52298,0.3437,0.03165,0.00599,inf,0.52555,0.0066577,0.0066577,0.0066577
3,1855.44,0.35199,0.02904,0.27743,0.70455,0.5304,0.26308,0.36667,0.25097,0.22958,0.28019,0.38834,0.27484,0.26866,0.32439,0.0311,0.0134,inf,0.51073,0.00997784,0.00997784,0.00997784
4,2401.56,0.33281,0.02754,0.27014,0.67963,0.52105,0.22425,0.33575,0.20251,0.18987,0.24069,0.34305,0.23716,0.22507,0.30714,0.02946,0.00887,inf,0.50044,0.0099703,0.0099703,0.0099703
5,2992.48,0.31813,0.02655,0.26118,0.65654,0.51328,0.38112,0.3388,0.34985,0.32549,0.4077,0.35324,0.37266,0.36694,0.30144,0.02906,0.00778,inf,0.49751,0.0099604,0.0099604,0.0099604
6,3515.61,0.30995,0.02611,0.25888,0.64254,0.50859,0.51222,0.28739,0.33331,0.31057,0.52414,0.30359,0.36461,0.35599,0.29569,0.02886,0.01866,inf,0.50186,0.0099505,0.0099505,0.0099505
7,4107.02,0.30507,0.02567,0.25653,0.63245,0.50559,0.28526,0.31949,0.20796,0.19189,0.30393,0.3279,0.23077,0.22592,0.29404,0.02853,0.00865,inf,0.49778,0.0099406,0.0099406,0.0099406
8,4634.68,0.30095,0.02543,0.25328,0.6244,0.50284,0.64855,0.30028,0.35439,0.32477,0.65667,0.32263,0.39391,0.38352,0.29341,0.02884,0.02062,inf,0.50232,0.0099307,0.0099307,0.0099307
9,5223.88,0.29773,0.02516,0.25273,0.61885,0.50063,0.32046,0.27186,0.28524,0.26712,0.35336,0.30404,0.32953,0.31794,0.28964,0.02871,0.02699,inf,0.49674,0.0099208,0.0099208,0.0099208
10,5765.97,0.29558,0.02497,0.24912,0.61461,0.49934,0.64857,0.30503,0.36702,0.34103,0.67452,0.32165,0.39841,0.39133,0.28802,0.02836,0.01016,inf,0.49083,0.0099109,0.0099109,0.0099109
11,6340.44,0.29326,0.02484,0.24972,0.60953,0.49792,0.47901,0.30418,0.33633,0.31372,0.50353,0.32275,0.37052,0.36156,0.28388,0.02777,0.01076,inf,0.49157,0.009901,0.009901,0.009901
12,6901.31,0.29136,0.02472,0.24709,0.60639,0.4967,0.44863,0.26854,0.27167,0.2566,0.48043,0.28758,0.3074,0.29791,0.2835,0.02772,0.00944,inf,0.49156,0.0098911,0.0098911,0.0098911
13,7458.48,0.28988,0.02456,0.24688,0.60246,0.49568,0.30454,0.30088,0.23005,0.21469,0.33063,0.32665,0.26958,0.25937,0.28247,0.02783,0.01095,inf,0.49143,0.0098812,0.0098812,0.0098812
14,8050.4,0.28874,0.02449,0.24596,0.59983,0.49499,0.28623,0.33083,0.2629,0.24845,0.30647,0.35339,0.30268,0.29078,0.28181,0.02773,0.01137,inf,0.49109,0.0098713,0.0098713,0.0098713
15,8602.83,0.28751,0.02438,0.24693,0.59705,0.49452,0.55684,0.28931,0.29832,0.27893,0.58972,0.30639,0.33385,0.32425,0.27995,0.02763,0.00873,inf,0.48922,0.0098614,0.0098614,0.0098614
16,9169.97,0.28668,0.02433,0.24623,0.59572,0.49371,0.38931,0.27862,0.2984,0.28131,0.42231,0.30224,0.33942,0.32873,0.27583,0.02699,0.01335,inf,0.48514,0.0098515,0.0098515,0.0098515
17,9766.66,0.28564,0.0243,0.24473,0.59303,0.49288,0.46956,0.28068,0.29857,0.28204,0.49026,0.30085,0.33419,0.32465,0.27322,0.02681,0.01142,inf,0.48512,0.0098416,0.0098416,0.0098416
