CoeffBinThresh	PixelThresh	Precision	Recall	F1	Time	StdTime
0.850	2	0.6010	0.2888	0.3894	0.054185	0.000078
0.850	4	0.7891	0.3792	0.5113	0.054185	0.000078
0.850	6	0.8666	0.4164	0.5615	0.054185	0.000078
0.850	8	0.9003	0.4327	0.5834	0.054185	0.000078
0.855	2	0.6053	0.2911	0.3924	0.054078	0.000081
0.855	4	0.7938	0.3818	0.5147	0.054078	0.000081
0.855	6	0.8705	0.4187	0.5644	0.054078	0.000081
0.855	8	0.9034	0.4346	0.5858	0.054078	0.000081
0.860	2	0.6094	0.2934	0.3954	0.054073	0.000073
0.860	4	0.7990	0.3847	0.5185	0.054073	0.000073
0.860	6	0.8743	0.4209	0.5673	0.054073	0.000073
0.860	8	0.9069	0.4367	0.5885	0.054073	0.000073
0.865	2	0.6136	0.2954	0.3981	0.054129	0.000076
0.865	4	0.8043	0.3871	0.5218	0.054129	0.000076
0.865	6	0.8781	0.4226	0.5696	0.054129	0.000076
0.865	8	0.9104	0.4383	0.5907	0.054129	0.000076
0.870	2	0.6187	0.2975	0.4011	0.054545	0.000102
0.870	4	0.8102	0.3895	0.5252	0.054545	0.000102
0.870	6	0.8827	0.4244	0.5722	0.054545	0.000102
0.870	8	0.9140	0.4394	0.5925	0.054545	0.000102
0.875	2	0.6244	0.2998	0.4045	0.057870	0.000155
0.875	4	0.8164	0.3920	0.5288	0.057870	0.000155
0.875	6	0.8870	0.4259	0.5745	0.057870	0.000155
0.875	8	0.9179	0.4408	0.5946	0.057870	0.000155
0.880	2	0.6306	0.3022	0.4079	0.073940	0.000222
0.880	4	0.8227	0.3942	0.5321	0.073940	0.000222
0.880	6	0.8912	0.4270	0.5764	0.073940	0.000222
0.880	8	0.9214	0.4415	0.5960	0.073940	0.000222
0.885	2	0.6366	0.3043	0.4112	0.074342	0.000217
0.885	4	0.8284	0.3958	0.5349	0.074342	0.000217
0.885	6	0.8956	0.4280	0.5783	0.074342	0.000217
0.885	8	0.9253	0.4422	0.5975	0.074342	0.000217
0.890	2	0.6438	0.3061	0.4143	0.072426	0.000215
0.890	4	0.8356	0.3972	0.5376	0.072426	0.000215
0.890	6	0.9007	0.4281	0.5795	0.072426	0.000215
0.890	8	0.9293	0.4418	0.5980	0.072426	0.000215
0.895	2	0.6505	0.3077	0.4172	0.072205	0.000213
0.895	4	0.8421	0.3983	0.5400	0.072205	0.000213
0.895	6	0.9055	0.4283	0.5807	0.072205	0.000213
0.895	8	0.9334	0.4415	0.5985	0.072205	0.000213
0.900	2	0.6583	0.3094	0.4204	0.072013	0.000211
0.900	4	0.8492	0.3990	0.5422	0.072013	0.000211
0.900	6	0.9107	0.4279	0.5814	0.072013	0.000211
0.900	8	0.9375	0.4406	0.5986	0.072013	0.000211
0.905	2	0.6675	0.3113	0.4240	0.071627	0.000214
0.905	4	0.8571	0.3996	0.5443	0.071627	0.000214
0.905	6	0.9163	0.4272	0.5819	0.071627	0.000214
0.905	8	0.9419	0.4392	0.5983	0.071627	0.000214
0.910	2	0.6760	0.3122	0.4265	0.071178	0.000208
0.910	4	0.8641	0.3989	0.5451	0.071178	0.000208
0.910	6	0.9216	0.4255	0.5814	0.071178	0.000208
0.910	8	0.9462	0.4369	0.5970	0.071178	0.000208
0.915	2	0.6854	0.3127	0.4289	0.070935	0.000208
