epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,716.726,0.51522,0.06899,0.80943,1.123,0.66952,0.64986,0.41181,0.55073,0.4352,0.6511,0.42055,0.56013,0.55769,0.39326,0.0445,0.01126,1.23316,0.57249,0.00333096,0.00333096,0.00333096
2,1266.81,0.37986,0.04004,0.43866,0.74899,0.55753,0.90652,0.34935,0.47965,0.41262,0.91152,0.35503,0.49153,0.48885,0.34915,0.03951,0.00942,inf,0.54014,0.0066577,0.0066577,0.0066577
3,1848.02,0.35532,0.03654,0.41666,0.71294,0.53481,0.25999,0.32309,0.18025,0.16091,0.2831,0.35038,0.20182,0.1975,0.33201,0.03922,0.01974,inf,0.51777,0.00997784,0.00997784,0.00997784
4,2371.12,0.337,0.03485,0.40771,0.68877,0.52452,0.36186,0.29998,0.28358,0.26107,0.38454,0.31879,0.31468,0.30522,0.31382,0.0387,0.01171,inf,0.5087,0.0099703,0.0099703,0.0099703
5,2911.97,0.32251,0.0336,0.39411,0.66536,0.51565,0.24312,0.28073,0.22326,0.20812,0.27331,0.31559,0.26149,0.24955,0.30956,0.03729,0.02033,inf,0.50677,0.0099604,0.0099604,0.0099604
6,3477.87,0.31375,0.03305,0.39004,0.65088,0.51079,0.16808,0.31795,0.14721,0.13643,0.21252,0.30903,0.18995,0.17892,0.30583,0.0375,0.04893,inf,0.51139,0.0099505,0.0099505,0.0099505
7,4000.16,0.30853,0.03261,0.3865,0.64065,0.50727,0.23485,0.28157,0.17368,0.16175,0.2852,0.30998,0.22863,0.21146,0.30226,0.03724,0.02654,inf,0.50679,0.0099406,0.0099406,0.0099406
8,4532.97,0.30467,0.03229,0.3818,0.6328,0.50487,0.34363,0.34624,0.29384,0.2714,0.37202,0.37188,0.33588,0.32524,0.29594,0.03677,0.03375,inf,0.50133,0.0099307,0.0099307,0.0099307
9,5103.13,0.30156,0.03194,0.38155,0.62689,0.50259,0.2178,0.30312,0.23154,0.21724,0.27409,0.30299,0.27786,0.26357,0.29531,0.0366,0.05139,inf,0.50309,0.0099208,0.0099208,0.0099208
10,5641.22,0.29917,0.03172,0.37756,0.62235,0.50102,0.33499,0.28184,0.28523,0.26553,0.36078,0.30967,0.32611,0.3155,0.29286,0.03618,0.02684,inf,0.50054,0.0099109,0.0099109,0.0099109
11,6156.77,0.29705,0.03157,0.37784,0.61787,0.49969,0.24205,0.2744,0.15817,0.14639,0.28307,0.2973,0.20998,0.19373,0.29186,0.03645,0.0185,inf,0.4999,0.009901,0.009901,0.009901
12,6728.87,0.29522,0.03137,0.37328,0.61422,0.49828,0.39248,0.29117,0.28924,0.27088,0.41867,0.31658,0.3218,0.3126,0.28615,0.03492,0.01884,inf,0.49335,0.0098911,0.0098911,0.0098911
13,7271.65,0.29358,0.03122,0.37329,0.60985,0.49733,0.39861,0.32555,0.32566,0.30211,0.42533,0.34388,0.36969,0.35714,0.28839,0.03551,0.01796,inf,0.4936,0.0098812,0.0098812,0.0098812
14,7796.18,0.29274,0.0311,0.37192,0.60888,0.497,0.40082,0.28037,0.20456,0.19111,0.43144,0.29817,0.24312,0.23054,0.28604,0.03538,0.02104,inf,0.49245,0.0098713,0.0098713,0.0098713
15,8363.19,0.29141,0.03096,0.37367,0.60584,0.496,0.39357,0.3217,0.23514,0.21245,0.42478,0.34183,0.27422,0.26273,0.28666,0.0353,0.01535,inf,0.49377,0.0098614,0.0098614,0.0098614
16,8904.27,0.29045,0.03083,0.37275,0.60347,0.49542,0.27545,0.2819,0.18994,0.17769,0.31003,0.30441,0.22261,0.21442,0.28346,0.03541,0.01405,inf,0.49498,0.0098515,0.0098515,0.0098515
17,9427.28,0.28937,0.03075,0.36918,0.60107,0.49423,0.41538,0.28442,0.21878,0.20388,0.46292,0.30345,0.24958,0.24251,0.2802,0.03436,0.01212,inf,0.49007,0.0098416,0.0098416,0.0098416
18,9987.65,0.28853,0.03068,0.36978,0.59995,0.49385,0.47049,0.30521,0.32377,0.30566,0.49923,0.32231,0.35293,0.34591,0.27638,0.03388,0.01349,inf,0.48521,0.0098317,0.0098317,0.0098317
19,10533.2,0.28773,0.03052,0.36481,0.5986,0.49322,0.25596,0.27155,0.23284,0.22049,0.28319,0.30043,0.26707,0.25762,0.27671,0.03409,0.01693,inf,0.48752,0.0098218,0.0098218,0.0098218
20,11049.1,0.28655,0.03051,0.3663,0.59616,0.49259,0.39145,0.29573,0.29939,0.2833,0.42355,0.3173,0.33458,0.32586,0.27772,0.03441,0.0171,inf,0.48959,0.0098119,0.0098119,0.0098119
21,11579,0.28582,0.03035,0.36577,0.59463,0.4921,0.34389,0.27022,0.25955,0.24537,0.37053,0.29725,0.29475,0.28417,0.27631,0.03451,0.02101,inf,0.48797,0.009802,0.009802,0.009802
22,12146.4,0.28533,0.03028,0.363,0.59331,0.49182,0.35516,0.26545,0.23465,0.22206,0.39635,0.29087,0.27152,0.26115,0.27756,0.03481,0.02258,inf,0.49138,0.0097921,0.0097921,0.0097921
23,12661.7,0.2851,0.03028,0.36696,0.59204,0.49166,0.36806,0.2791,0.28467,0.26929,0.39507,0.30586,0.32456,0.31342,0.27644,0.03449,0.01651,inf,0.48682,0.0097822,0.0097822,0.0097822
24,13187,0.28447,0.03009,0.3666,0.59062,0.49146,0.40135,0.27013,0.25736,0.24353,0.43218,0.29648,0.29383,0.28303,0.27645,0.03467,0.01315,inf,0.48929,0.0097723,0.0097723,0.0097723
25,13747.4,0.28367,0.03011,0.36423,0.58915,0.49076,0.27189,0.26782,0.23982,0.22841,0.30266,0.29813,0.27673,0.2655,0.27389,0.03424,0.01178,inf,0.48581,0.0097624,0.0097624,0.0097624
26,14287.8,0.28326,0.03008,0.36612,0.58829,0.49054,0.44403,0.28131,0.29266,0.27641,0.47483,0.30083,0.32913,0.3199,0.27256,0.03394,0.01817,inf,0.4847,0.0097525,0.0097525,0.0097525
27,14813.7,0.28276,0.02999,0.36396,0.58754,0.49022,0.5972,0.28376,0.31494,0.29729,0.62097,0.29955,0.35253,0.34188,0.26939,0.03329,0.01659,inf,0.47983,0.0097426,0.0097426,0.0097426
28,15380.3,0.28244,0.03,0.36179,0.58671,0.49017,0.46944,0.29327,0.31772,0.29999,0.4975,0.31437,0.35317,0.34315,0.26959,0.03332,0.01368,inf,0.48137,0.0097327,0.0097327,0.0097327
29,15930.1,0.28141,0.0299,0.3627,0.58514,0.4897,0.4232,0.28737,0.31063,0.29398,0.40879,0.32099,0.34512,0.33616,0.26973,0.03366,0.01339,inf,0.48196,0.0097228,0.0097228,0.0097228
30,16453.6,0.2814,0.02984,0.36188,0.58486,0.48944,0.45605,0.27727,0.30978,0.29384,0.47934,0.29815,0.3445,0.33485,0.26929,0.03341,0.01107,inf,0.48183,0.0097129,0.0097129,0.0097129
